Timestamp,Email Address,(Camper) First name,(Camper) Last name,(Camper) Age,Gender,Grade you will be in Fall 2019
1/7/2019 19:56:18,a@b.com,Aaron,Doe,30,Male,9th grade
5/19/2019 16:48:52,b@c.com,Bob,Doe,15,Male,11th grade
5/22/2019 8:43:27,c@d.com,Charlie,Doe,27 T_T,Male,12th grade
6/8/2019 20:23:27,a@b.com,Ann,Doe,17,Female,12th grade
6/10/2019 21:52:37,b@c.com,Eve,Doe,17,Female,12th grade
6/13/2019 15:32:29,c@d.com,Derrick,Doe,16,Male,11th grade
6/15/2019 19:56:23,a@b.com,Elvis,Doe,16,Male,11th grade
6/17/2019 18:48:13,b@c.com,Foxtrot,Doe,16,Male,11th grade
6/17/2019 18:52:33,c@d.com,Greg,Doe,16,Male,11th grade
6/21/2019 11:46:39,a@b.com,Alice,Doe,15,Female,11th grade
6/22/2019 21:03:21,b@c.com,Henry,Doe,16,Male,11th grade
6/24/2019 10:22:43,c@d.com,Igloo,Doe,14,Male,9th grade
6/24/2019 10:28:56,a@b.com,Jonny,Doe,14,Male,9th grade
6/25/2019 20:21:35,b@c.com,Boring,Doe,17,Female,11th grade
6/29/2019 20:29:59,c@d.com,Cindy,Doe,16,Female,11th grade
6/29/2019 20:32:53,a@b.com,Dear,Doe,16,Female,10th grade
7/5/2019 19:36:46,b@c.com,Emily,Doe,16,Female,11th grade
7/5/2019 19:40:58,c@d.com,Free,Doe,14,Female,9th grade
7/5/2019 22:45:40,a@b.com,Kangaroo,Doe,15,Male,10th grade
7/6/2019 21:55:11,b@c.com,Glisten,Doe,16,Female,12th grade
7/9/2019 13:13:38,c@d.com,Hakunamatata,Doe,29,Female,12th grade
7/9/2019 19:01:54,a@b.com,Igneous,Doe,14,Female,9th grade
7/9/2019 19:02:21,b@c.com,Justine,Doe,16,Female,11th grade
7/10/2019 12:54:07,c@d.com,John,Doe,18,Male,12th grade
7/10/2019 22:05:15,a@b.com,Kyla,Doe,20,Female,12th grade
7/10/2019 22:33:46,b@c.com,Kyle,Doe,16,Male,11th grade
7/11/2019 15:56:03,c@d.com,Mike,Doe,16,Male,11th grade
7/11/2019 20:14:32,a@b.com,Lima,Doe,17,Female,12th grade
7/11/2019 22:27:24,b@c.com,Nike,Doe,18,Male,Freshman in college
7/12/2019 16:34:22,c@d.com,Mary,Doe,22,Female,12th grade
7/12/2019 19:23:30,a@b.com,Narwhal,Doe,15,Female,10th grade
7/12/2019 21:15:03,b@c.com,Oscar,Doe,21,Male,Freshman in college
7/13/2019 17:26:53,c@d.com,Pompus,Doe,21,Male,Freshman in college
7/13/2019 19:34:16,a@b.com,Octupus,Doe,17,Female,12th grade
7/13/2019 21:48:25,b@c.com,Quasar,Doe,17,Male,12th grade
7/14/2019 12:55:13,c@d.com,Roger,Doe,14,Male,9th grade
7/14/2019 14:24:37,a@b.com,Stratus,Doe,18,Male,Freshman in college
7/14/2019 14:33:42,b@c.com,Tractor,Doe,19,Male,Freshman in college
7/14/2019 14:34:52,c@d.com,Permission,Doe,22,Female,9th grade
7/14/2019 14:38:43,a@b.com,Persimmon,Doe,20,Female,Freshman in college
7/14/2019 14:43:55,b@c.com,Uncovered,Doe,23,Male,9th grade
7/15/2019 23:44:50,c@d.com,Victor,Doe,32,Male,Freshman in college
7/28/2019 21:04:46,a@b.com,Quack,Doe,16,Female,11th grade
7/29/2019 10:41:33,b@c.com,Selenium,Doe,14,Female,9th grade
7/29/2019 22:15:42,c@d.com,Tammy,Doe,15,Female,10th grade
8/2/2019 18:44:21,a@b.com,Whiskey,Doe,15,Male,10th grade
